00:35:05.412 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - UUID:[] - COID:[] Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$EnhancerBySpringCGLIB$$785cd5ed] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
00:35:05.478 [main] INFO  o.s.w.s.a.s.AnnotationActionEndpointMapping - UUID:[] - COID:[] Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
00:35:05.855 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - UUID:[] - COID:[] Initializing ExecutorService 'applicationTaskExecutor'
00:35:05.960 [task-1] INFO  o.h.jpa.internal.util.LogHelper - UUID:[] - COID:[] HHH000204: Processing PersistenceUnitInfo [name: default]
00:35:06.011 [task-1] INFO  org.hibernate.Version - UUID:[] - COID:[] HHH000412: Hibernate ORM core version 5.4.23.Final
00:35:06.127 [task-1] INFO  o.h.annotations.common.Version - UUID:[] - COID:[] HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
00:35:06.231 [task-1] INFO  com.zaxxer.hikari.HikariDataSource - UUID:[] - COID:[] HikariPool-1 - Starting...
00:35:06.518 [task-1] INFO  com.zaxxer.hikari.HikariDataSource - UUID:[] - COID:[] HikariPool-1 - Start completed.
00:35:06.532 [task-1] INFO  org.hibernate.dialect.Dialect - UUID:[] - COID:[] HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
00:35:07.429 [task-1] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - UUID:[] - COID:[] HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
00:35:07.440 [task-1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - UUID:[] - COID:[] Initialized JPA EntityManagerFactory for persistence unit 'default'
00:35:07.755 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - UUID:[] - COID:[] spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
00:35:08.721 [main] INFO  o.s.d.r.c.DeferredRepositoryInitializationListener - UUID:[] - COID:[] Triggering deferred initialization of Spring Data repositories…
00:35:08.963 [main] INFO  o.s.d.r.c.DeferredRepositoryInitializationListener - UUID:[] - COID:[] Spring Data repositories initialized!
00:35:08.970 [main] INFO  c.i.w.InferenceOmnicanalSoleApiApplicationTests - UUID:[] - COID:[] Started InferenceOmnicanalSoleApiApplicationTests in 6.4 seconds (JVM running for 7.567)
00:35:09.272 [SpringContextShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - UUID:[] - COID:[] Closing JPA EntityManagerFactory for persistence unit 'default'
00:35:09.274 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - UUID:[] - COID:[] Shutting down ExecutorService 'applicationTaskExecutor'
00:35:09.275 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - UUID:[] - COID:[] HikariPool-1 - Shutdown initiated...
00:35:09.280 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - UUID:[] - COID:[] HikariPool-1 - Shutdown completed.
00:46:31.875 [main] INFO  c.i.w.InferenceOmnicanalSoleApiApplicationTests - UUID:[] - COID:[] Starting InferenceOmnicanalSoleApiApplicationTests using Java 11.0.11 on MacBook-RB.local with PID 74656 (started by renattob in /Users/renattob/Documents/Proyectos/Java-Scala/INFERENCE/InferenceOmnicanalNubyxAPI)
00:46:31.883 [main] INFO  c.i.w.InferenceOmnicanalSoleApiApplicationTests - UUID:[] - COID:[] No active profile set, falling back to default profiles: default
00:46:32.914 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - UUID:[] - COID:[] Multiple Spring Data modules found, entering strict repository configuration mode!
00:46:32.916 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - UUID:[] - COID:[] Bootstrapping Spring Data Redis repositories in DEFAULT mode.
00:46:32.940 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - UUID:[] - COID:[] Finished Spring Data repository scanning in 12 ms. Found 0 Redis repository interfaces.
00:46:33.291 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - UUID:[] - COID:[] Multiple Spring Data modules found, entering strict repository configuration mode!
00:46:33.294 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - UUID:[] - COID:[] Bootstrapping Spring Data JPA repositories in DEFERRED mode.
00:46:33.524 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - UUID:[] - COID:[] Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.inference.whatsappintegration.infrastructure.persistence.repository.Five9SessionRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
00:46:33.528 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - UUID:[] - COID:[] Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.inference.whatsappintegration.infrastructure.persistence.repository.SessionRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
